Br-76,0.378378378,10.3,42.6
Br-76m,0.008027027,0.0917,2.84
Br-77,0.047567568,3.61,15.8
Br-77m,0.001797297,0.248,0.697
Br-78,0.16027027,5.09,15.6
Br-80,0.011648649,6.28,19.4
Br-80m,0.006945946,0.0386,0.121
Br-82m,0.000410811,8.72,28.7
Br-82,0.389189189,9.56,31.7
Br-83,0.001062162,5.26,16
Br-84m,0.391891892,11.5,40.8
Br-84,0.218108108,16.6,52.1
Br-85,0.009594595,11.4,35.5
C-10,0.268648649,6.08,19.4
C-11,0.158378378,4.95,15.1
Ca-47,0.146756757,15.1,45.2
Ca-49,0.335135135,22.4,64.5
Cd-101,0.367567568,8.8,38.7
Cd-102,0.157837838,3.94,20.3
Cd-103,0.310810811,10.7,44.7
Cd-104,0.082972973,0.0395,12.8
Cd-105,0.204594595,8.77,40.4
Cd-107,0.054864865,0.0112,0.038
Cd-109,0.051081081,0.0109,0.0353
Cd-111m,0.058108108,0.455,2.46
Cd-113m,2.94595E-05,0.0227,1.86
Cd-115,0.031351351,4.52,15
Cd-115m,0.00472973,12.5,38.2
Cd-117,0.153513514,11.2,42.2
Cd-117m,0.272972973,15.3,48.8
Cd-119,0.218918919,14.1,49
Cd-119m,0.310810811,15,47.9
Ce-130,0.088108108,2.51,22
Ce-131,0.25,6.35,28.8
Ce-132,0.051621622,0.407,3.04
Ce-133,0.100540541,2.51,13
Ce-133m,0.264324324,7.86,35.5
Ce-134,0.015648649,0.0316,0.102
Ce-135,0.137297297,3.72,19.3
Ce-137,0.017432432,0.0366,0.361
Ce-137m,0.015945946,0.0697,2.6
Ce-139,0.034324324,0.141,1.05
Ce-141,0.012243243,0.249,0.981
Ce-143,0.05,1.78,12.9
Ce-144,0.003648649,0.123,0.709
Ce-145,0.133513514,6.22,25.2
Cf-244,0.003702703,0.00779,0.0259
Cf-246,0.002559459,0.0078,0.026
Cf-247,0.08,0.00948,0.16
Cf-248,0.003081081,0.00781,0.026
Cf-249,0.057837838,2.02,7.97
Cf-250,0.003486486,0.0205,20.8
Cf-251,0.032972973,0.0425,0.965
Cf-252,0.062432432,11.5,44.7
Cf-253,0.014108108,0.00761,0.0261
Cf-254,2.224324324,12.3,45.7
Cl-34,0.158648649,4.95,15.1
Cl-34m,0.27027027,12.3,49.5
Cl-36,2.20541E-05,4.95,15.1
Cl-38,0.178378378,20.4,58.2
Cl-39,0.199189189,14.8,46.9
Cl-40,0.478378378,19.6,57.7
Cm-238,0.023513514,0.0252,0.452
Cm-239,0.052162162,0.191,1.18
Cm-240,0.004837838,0.00732,0.0242
Cm-241,0.106216216,1.18,10.1
Cm-242,0.004351351,0.00732,0.0242
Cm-243,0.036756757,0.042,1.69
Cm-244,0.00372973,0.00732,0.0241
Cm-245,0.033243243,0.0219,0.507
Cm-246,0.003189189,0.00833,0.0376
Cm-247,0.048918919,2.95,9.58
Cm-248,0.175945946,12,45.3
Cm-249,0.003162162,5.14,18.3
Cm-250,1.756756757,12.3,45.8
Cm-251,0.021540541,3.01,15.2
Co-54m,0.567567568,9.46,37.2
Co-55,0.297297297,8.06,29.9
Co-56,0.483783784,14.5,46.7
Co-57,0.015216216,0.298,0.85
Co-58,0.147027027,8.85,27.5
Co-58m,1.71892E-05,0.0161,0.0473
Co-60,0.348648649,15.6,45.3
Co-60m,0.000640541,8.27,40.7
Co-61,0.014189189,0.69,21
Co-62,0.214594595,16.3,48
Co-62m,0.367567568,15.9,46.7
